Question,Option A,Option B,Option C,Option D,Correct Answer,,,,
What is the purpose of the 'IndexedDB' API?,To create objects,To store large amounts of structured data in the browser,To make HTTP requests,To loop,To store large amounts of structured data in the browser,,,,
What is the purpose of the 'MutationObserver' API?,To create objects,To observe changes to the DOM,To make HTTP requests,To loop,To observe changes to the DOM,,,,
What is the purpose of the 'requestAnimationFrame()' method?,To create objects,To schedule animations for optimal performance,To make HTTP requests,To loop,To schedule animations for optimal performance,,,,
What is the purpose of the 'requestIdleCallback()' method?,To create objects,To schedule tasks to run when the browser is idle,To make HTTP requests,To loop,To schedule tasks to run when the browser is idle,,,,
What is the purpose of the 'WebAssembly' API?,To create objects,To run high-performance code in the browser,To make HTTP requests,To loop,To run high-performance code in the browser,,,,
What is the purpose of the 'Typed Arrays'?,To create objects,To handle binary data efficiently,To make HTTP requests,To loop,To handle binary data efficiently,,,,
What is the purpose of the 'DataView'?,To create objects,To provide a low-level interface for reading and writing data in Typed Arrays,To make HTTP requests,To loop,To provide a low-level interface for reading and writing data in Typed Arrays,,,,
What is the purpose of the 'BigInt' type?,To create objects,To represent integers of arbitrary precision,To make HTTP requests,To loop,To represent integers of arbitrary precision,,,,
What is the purpose of the 'Optional Chaining' operator (?.)?,To create objects,To safely access nested object properties,To make HTTP requests,To loop,To safely access nested object properties,,,,
What is the purpose of the 'Nullish Coalescing' operator (??)?,To create objects,To provide a default value when a value is null or undefined,To make HTTP requests,To loop,To provide a default value when a value is null or undefined,,,,
What is the purpose of the 'Dynamic Import()'?,To create objects,To dynamically load modules on demand,To make HTTP requests,To loop,To dynamically load modules on demand,,,,
What is the purpose of the 'Top-level await'?,To create objects,To use await outside of async functions,To make HTTP requests,To loop,To use await outside of async functions,,,,
What is the purpose of the 'Private class fields' (#)?,To create objects,To define private properties and methods within a class,To make HTTP requests,To loop,To define private properties and methods within a class,,,,
What is the purpose of the 'Static class fields'?,To create objects,To define static properties and methods within a class,To make HTTP requests,To loop,To define static properties and methods within a class,,,,
What is the purpose of the 'Class static blocks'?,To create objects,To execute static initialization code within a class,To make HTTP requests,To loop,To execute static initialization code within a class,,,,
What is the purpose of the 'Logical Assignment Operators' (||=, &&=, ??=)?,To create objects,To combine logical operators with assignment,To make HTTP requests,To loop,To combine logical operators with assignment,,
