Question,Option A,Option B,Option C,Option D,Correct Answer
What is a file?,A type of variable,A collection of data stored on a storage device,A type of function,A type of loop,A collection of data stored on a storage device
What is file input/output (I/O)?,Reading and writing to files,Creating variables,Defining functions,Looping,Reading and writing to files
What is a database?,A type of variable,An organized collection of data,A type of function,A type of loop,An organized collection of data
What is SQL?,A programming language,A database query language,A data type,A loop,A database query language
What is a web server?,A type of variable,A computer that hosts websites,A type of function,A type of loop,A computer that hosts websites
What is HTML?,A programming language,A markup language for creating web pages,A data type,A loop,A markup language for creating web pages
What is CSS?,A programming language,A styling language for web pages,A data type,A loop,A styling language for web pages
What is JavaScript?,A programming language for web pages,A markup language,A styling language,A database language,A programming language for web pages
What is a framework?,A type of variable,A collection of libraries and tools,A type of function,A type of loop,A collection of libraries and tools
What is version control?,Managing code changes,Deleting code,Adding code,Searching code,Managing code changes
What is Git?,A programming language,A version control system,A data type,A loop,A version control system
What is a repository?,A storage location for code,A function,A variable,A loop,A storage location for code
What is a branch?,A copy of the code,A function,A variable,A loop,A copy of the code
What is a merge?,Combining different branches,Deleting branches,Adding branches,Searching branches,Combining different branches
What is a pull request?,A request to merge code,A request to delete code,A request to add code,A request to search code,A request to merge code
What is a unit test?,Testing individual units of code,Testing the entire program,Testing the database,Testing the web server,Testing individual units of code
What is integration testing?,Testing individual units,Testing how different components work together,Testing the database,Testing the web server,Testing how different components work together
What is a deployment?,Releasing software,Deleting software,Adding software,Searching software,Releasing software
What is a server?,A type of variable,A computer that provides services,A type of function,A type of loop,A computer that provides services
What is a client?,A type of variable,A computer that requests services,A type of function,A type of loop,A computer that requests services
What is a network?,A type of variable,A system of interconnected computers,A type of function,A type of loop,A system of interconnected computers
What is an IP address?,A type of variable,A unique address that identifies a device on a network,A type of function,A type of loop,A unique address that identifies a device on a network
What is a URL?,A type of variable,An address for a resource on the internet,A type of function,A type of loop,An address for a resource on the internet
What is a port?,A type of variable,A communication endpoint,A type of function,A type of loop,A communication endpoint
What is a protocol?,A type of variable,A set of rules for communication,A type of function,A type of loop,A set of rules for communication
What is HTTP?,A protocol for transferring web pages,A protocol for transferring files,A protocol for sending emails,A protocol for database access,A protocol for transferring web pages
What is HTTPS?,A secure version of HTTP,A protocol for transferring files,A protocol for sending emails,A protocol for database access,A secure version of HTTP
What is a firewall?,A type of variable,A network security system,A type of function,A type of loop,A network security system
What is encryption?,A type of variable,Converting data into a secret code,A type of function,A type of loop,Converting data into a secret code
